Player,Nation,Pos,Gls,Ast,MP,CrdY,CrdR,Squad
Kristoffer Ajer,NOR,DF,0.0,0.0,24,5.0,0.0,Brentford
Yehor Yarmoliuk,UKR,MF,0.0,0.0,31,6.0,0.0,Brentford
Mads Roerslev,DEN,DF,0.0,2.0,19,2.0,0.0,Brentford
Mathias Jensen,DEN,MF,0.0,2.0,24,2.0,0.0,Brentford
Michael Kayode,ITA,DF,0.0,1.0,12,2.0,0.0,Brentford
Fabio Carvalho,POR,"FW,MF",2.0,1.0,19,1.0,0.0,Brentford
Ben Mee,ENG,DF,0.0,0.0,7,2.0,0.0,Brentford
Thiago,BRA,"FW,MF",0.0,0.0,8,0.0,0.0,Brentford
Hákon Valdimarsson,ISL,GK,0.0,0.0,2,0.0,0.0,Brentford
Edmond-Paris Maghoma,ENG,"MF,FW",0.0,0.0,8,0.0,0.0,Brentford
Rico Henry,ENG,DF,0.0,0.0,5,0.0,0.0,Brentford
Yunus Emre Konak,TUR,"FW,MF",0.0,0.0,10,0.0,0.0,Brentford
Kim Jisoo,KOR,DF,0.0,0.0,3,0.0,0.0,Brentford
Frank Onyeka,NGA,MF,0.0,0.0,2,0.0,0.0,Brentford
Gustavo Nunes,BRA,"FW,MF",0.0,0.0,3,0.0,0.0,Brentford
Jayden Meghoma,ENG,DF,0.0,0.0,1,0.0,0.0,Brentford
Ryan Trevitt,ENG,MF,0.0,0.0,1,0.0,0.0,Brentford
Benjamin Arthur,ENG,DF,0.0,0.0,0,0.0,0.0,Brentford
Julian Eyestone,USA,GK,0.0,0.0,0,0.0,0.0,Brentford
Benjamin Fredrick,NGA,DF,0.0,0.0,0,0.0,0.0,Brentford
Aaron Hickey,SCO,"DF,MF",0.0,0.0,0,0.0,0.0,Brentford
Iwan Morgan,WAL,FW,0.0,0.0,0,0.0,0.0,Brentford
Myles Peart-Harris,ENG,MF,0.0,0.0,0,0.0,0.0,Brentford
Tony Yogane,ENG,MF,0.0,0.0,0,0.0,0.0,Brentford
Bart Verbruggen,NED,GK,0.0,1.0,36,5.0,0.0,Brighton
Jan Paul van Hecke,NED,DF,1.0,1.0,34,8.0,1.0,Brighton
Carlos Baleba,CMR,MF,3.0,1.0,34,8.0,1.0,Brighton
Kaoru Mitoma,JPN,"FW,MF",10.0,4.0,36,1.0,0.0,Brighton
Pervis Estupiñán,ECU,DF,1.0,1.0,30,5.0,0.0,Brighton
Danny Welbeck,ENG,FW,10.0,4.0,30,5.0,0.0,Brighton
Lewis Dunk,ENG,DF,0.0,0.0,25,5.0,0.0,Brighton
João Pedro,BRA,"FW,MF",10.0,6.0,27,4.0,1.0,Brighton
Yasin Ayari,SWE,MF,2.0,1.0,34,3.0,0.0,Brighton
Jack Hinshelwood,ENG,"MF,DF",5.0,2.0,26,5.0,0.0,Brighton
Yankuba Minteh,GAM,"FW,MF",6.0,4.0,32,6.0,0.0,Brighton
Joël Veltman,NED,DF,0.0,0.0,21,5.0,0.0,Brighton
Georginio Rutter,FRA,"MF,FW",5.0,3.0,28,2.0,0.0,Brighton
Simon Adingra,CIV,"FW,MF",2.0,2.0,29,0.0,0.0,Brighton
Matt O'Riley,DEN,MF,2.0,2.0,21,1.0,0.0,Brighton
Adam Webster,ENG,DF,0.0,0.0,14,1.0,0.0,Brighton
Mats Wieffer,NED,"DF,MF",1.0,3.0,25,6.0,0.0,Brighton
Igor,BRA,DF,0.0,0.0,13,4.0,0.0,Brighton
Tariq Lamptey,GHA,DF,2.0,2.0,15,0.0,0.0,Brighton
Brajan Gruda,GER,"MF,FW",1.0,4.0,21,0.0,0.0,Brighton
Ferdi Kadioglu,TUR,"DF,MF",1.0,0.0,6,1.0,0.0,Brighton
Diego Gómez,PAR,MF,1.0,0.0,16,0.0,0.0,Brighton
James Milner,ENG,MF,0.0,0.0,4,1.0,0.0,Brighton
Julio Enciso,PAR,"MF,FW",0.0,0.0,12,0.0,0.0,Brighton
Evan Ferguson,IRL,FW,1.0,0.0,13,0.0,0.0,Brighton
Jason Steele,ENG,GK,0.0,0.0,2,0.0,0.0,Brighton
Solly March,ENG,"FW,MF",0.0,0.0,8,2.0,0.0,Brighton
Billy Gilmour,SCO,MF,0.0,0.0,2,0.0,0.0,Brighton
Eiran Cashin,IRL,DF,0.0,0.0,2,0.0,0.0,Brighton
Jakub Moder,POL,MF,0.0,0.0,4,0.0,0.0,Brighton
Jeremy Sarmiento,ECU,MF,0.0,0.0,1,0.0,0.0,Brighton
Harry Howell,ENG,FW,0.0,0.0,1,0.0,0.0,Brighton
Valentín Barco,ARG,"DF,MF",0.0,0.0,0,0.0,0.0,Brighton
Killian Cahill,IRL,GK,0.0,0.0,0,0.0,0.0,Brighton
Joe Knight,ENG,MF,0.0,0.0,0,0.0,0.0,Brighton
Ruairi Mcconville,NIR,DF,0.0,0.0,0,0.0,0.0,Brighton
Mark O'Mahony,IRL,FW,0.0,0.0,0,0.0,0.0,Brighton
Carl Rushworth,ENG,GK,0.0,0.0,0,0.0,0.0,Brighton
Imari Samuels,ENG,DF,0.0,0.0,0,0.0,0.0,Brighton
Freddie Simmonds,ENG,DF,0.0,0.0,0,0.0,0.0,Brighton
Jacob Slater,IRL,DF,0.0,0.0,0,0.0,0.0,Brighton
Charlie Tasker,ENG,DF,0.0,0.0,0,0.0,0.0,Brighton
Moisés Caicedo,ECU,"MF,DF",1.0,2.0,38,11.0,0.0,Chelsea
Cole Palmer,ENG,"MF,FW",15.0,8.0,37,7.0,0.0,Chelsea
Levi Colwill,ENG,DF,2.0,1.0,35,9.0,0.0,Chelsea
Marc Cucurella,ESP,DF,5.0,1.0,36,10.0,1.0,Chelsea
Enzo Fernández,ARG,MF,6.0,7.0,36,8.0,0.0,Chelsea
Robert Sánchez,ESP,GK,0.0,0.0,32,5.0,0.0,Chelsea
Nicolas Jackson,SEN,FW,10.0,5.0,30,7.0,1.0,Chelsea
Noni Madueke,ENG,FW,7.0,3.0,32,3.0,0.0,Chelsea
Pedro Neto,POR,FW,4.0,6.0,35,8.0,0.0,Chelsea
Malo Gusto,FRA,DF,0.0,1.0,32,4.0,0.0,Chelsea
Jadon Sancho,ENG,FW,3.0,4.0,31,2.0,0.0,Chelsea
Tosin Adarabioyo,ENG,DF,1.0,1.0,22,4.0,0.0,Chelsea
Wesley Fofana,FRA,DF,0.0,0.0,14,7.0,0.0,Chelsea
Reece James,ENG,"DF,MF",1.0,1.0,19,1.0,0.0,Chelsea
Trevoh Chalobah,ENG,DF,0.0,1.0,13,2.0,0.0,Chelsea
Roméo Lavia,BEL,MF,0.0,1.0,16,4.0,0.0,Chelsea
Christopher Nkunku,FRA,FW,3.0,2.0,27,2.0,0.0,Chelsea
Filip Jørgensen,DEN,GK,0.0,0.0,6,0.0,0.0,Chelsea
Axel Disasi,FRA,DF,1.0,0.0,6,1.0,0.0,Chelsea
João Félix,POR,"FW,MF",1.0,1.0,12,2.0,0.0,Chelsea
Benoît Badiashile,FRA,DF,0.0,0.0,5,0.0,0.0,Chelsea
Kiernan Dewsbury-Hall,ENG,"MF,FW",0.0,1.0,13,0.0,0.0,Chelsea
Joshua Acheampong,ENG,DF,0.0,0.0,4,1.0,0.0,Chelsea
Tyrique George,ENG,FW,1.0,1.0,8,1.0,0.0,Chelsea
Renato Veiga,POR,"DF,MF",0.0,0.0,7,2.0,0.0,Chelsea
Mykhailo Mudryk,UKR,FW,0.0,0.0,7,0.0,0.0,Chelsea
Marc Guiu,ESP,FW,0.0,0.0,3,0.0,0.0,Chelsea
Mathis Amougou,FRA,MF,0.0,0.0,1,0.0,0.0,Chelsea
Shumaira Mheuka,ENG,MF,0.0,0.0,1,0.0,0.0,Chelsea
Aaron Anselmino,ARG,DF,0.0,0.0,0,0.0,0.0,Chelsea
Genesis Antwi,SWE,MF,0.0,0.0,0,0.0,0.0,Chelsea
Marcus Bettinelli,ENG,GK,0.0,0.0,0,0.0,0.0,Chelsea
Cesare Casadei,ITA,MF,0.0,0.0,0,0.0,0.0,Chelsea
Samuel Rak-Sakyi,ENG,MF,0.0,0.0,0,0.0,0.0,Chelsea
Ishé Samuels-Smith,ENG,DF,0.0,0.0,0,0.0,0.0,Chelsea
Dean Henderson,ENG,GK,0.0,0.0,38,3.0,0.0,Crystal Palace
Daniel Muñoz,COL,DF,4.0,5.0,37,10.0,0.0,Crystal Palace
Tyrick Mitchell,ENG,DF,0.0,5.0,37,2.0,0.0,Crystal Palace
Maxence Lacroix,FRA,DF,1.0,1.0,35,5.0,0.0,Crystal Palace
Marc Guéhi,ENG,DF,3.0,2.0,34,9.0,1.0,Crystal Palace
Jean-Philippe Mateta,FRA,FW,14.0,2.0,37,2.0,0.0,Crystal Palace
Eberechi Eze,ENG,"MF,FW",8.0,8.0,34,1.0,0.0,Crystal Palace
Ismaila Sarr,SEN,MF,8.0,6.0,38,4.0,0.0,Crystal Palace
Jefferson Lerma,COL,"MF,DF",0.0,1.0,33,9.0,0.0,Crystal Palace
Will Hughes,ENG,MF,0.0,3.0,33,11.0,0.0,Crystal Palace
Chris Richards,USA,DF,1.0,0.0,24,4.0,1.0,Crystal Palace
Adam Wharton,ENG,MF,0.0,2.0,20,2.0,0.0,Crystal Palace
Daichi Kamada,JPN,MF,0.0,0.0,34,4.0,1.0,Crystal Palace
Trevoh Chalobah,ENG,DF,3.0,0.0,12,1.0,0.0,Crystal Palace
Eddie Nketiah,ENG,"FW,MF",3.0,1.0,29,6.0,1.0,Crystal Palace
Nathaniel Clyne,ENG,"DF,MF",0.0,0.0,13,1.0,0.0,Crystal Palace
Justin Devenny,NIR,MF,1.0,1.0,23,1.0,0.0,Crystal Palace
Cheick Doucouré,MLI,MF,0.0,0.0,13,1.0,0.0,Crystal Palace
Ben Chilwell,ENG,DF,1.0,0.0,8,1.0,0.0,Crystal Palace
Romain Esse,ENG,MF,1.0,1.0,7,0.0,0.0,Crystal Palace
Odsonne Édouard,FRA,"MF,FW",0.0,0.0,2,0.0,0.0,Crystal Palace
Joachim Andersen,DEN,DF,0.0,0.0,1,1.0,0.0,Crystal Palace
Chadi Riad,MAR,DF,0.0,0.0,1,0.0,0.0,Crystal Palace
Joel Ward,ENG,DF,0.0,0.0,2,1.0,0.0,Crystal Palace
Jeffrey Schlupp,GHA,"MF,DF",0.0,0.0,12,0.0,0.0,Crystal Palace
Matheus França,BRA,"MF,FW",1.0,0.0,4,0.0,0.0,Crystal Palace
Jordan Ayew,GHA,"FW,MF",0.0,0.0,1,1.0,0.0,Crystal Palace
Caleb Kporha,ENG,DF,0.0,0.0,2,0.0,0.0,Crystal Palace
Asher Agbinone,ENG,MF,0.0,0.0,2,0.0,0.0,Crystal Palace
Naouirou Ahamada,FRA,MF,0.0,0.0,0,0.0,0.0,Crystal Palace
Rob Holding,ENG,DF,0.0,0.0,0,0.0,0.0,Crystal Palace
Sam Johnstone,ENG,GK,0.0,0.0,0,0.0,0.0,Crystal Palace
Zachariah Marsh,ENG,FW,0.0,0.0,0,0.0,0.0,Crystal Palace
Remi Matthews,ENG,GK,0.0,0.0,0,0.0,0.0,Crystal Palace
Kaden Rodney,ENG,"DF,MF",0.0,0.0,0,0.0,0.0,Crystal Palace
Matt Turner,USA,GK,0.0,0.0,0,0.0,0.0,Crystal Palace
Franco Umeh-Chibueze,IRL,MF,0.0,0.0,0,0.0,0.0,Crystal Palace
Jordan Pickford,ENG,GK,0.0,1.0,38,7.0,0.0,Everton
Vitaliy Mykolenko,UKR,DF,1.0,2.0,35,4.0,0.0,Everton
Idrissa Gana Gueye,SEN,MF,0.0,3.0,37,9.0,0.0,Everton
James Tarkowski,ENG,DF,1.0,1.0,33,6.0,0.0,Everton
Abdoulaye Doucouré,MLI,MF,3.0,2.0,33,5.0,1.0,Everton
Iliman Ndiaye,SEN,FW,9.0,0.0,33,3.0,0.0,Everton
Jarrad Branthwaite,ENG,DF,0.0,1.0,30,4.0,0.0,Everton
Jack Harrison,ENG,FW,1.0,0.0,34,0.0,0.0,Everton
Ashley Young,ENG,DF,1.0,3.0,32,7.0,1.0,Everton
Dominic Calvert-Lewin,ENG,FW,3.0,1.0,26,2.0,0.0,Everton
James Garner,ENG,"MF,DF",0.0,1.0,21,5.0,0.0,Everton
Jake O'Brien,IRL,DF,2.0,0.0,20,5.0,0.0,Everton
Beto,GNB,FW,8.0,0.0,30,2.0,0.0,Everton
Dwight McNeil,ENG,"MF,FW",4.0,6.0,21,1.0,0.0,Everton
Jesper Lindstrøm,DEN,FW,0.0,1.0,25,2.0,0.0,Everton
Orel Mangala,BEL,MF,1.0,0.0,19,2.0,0.0,Everton
Michael Keane,ENG,DF,3.0,0.0,14,5.0,0.0,Everton
Carlos Alcaraz,ARG,"FW,MF",2.0,3.0,15,4.0,0.0,Everton
Tim Iroegbunam,ENG,MF,0.0,1.0,18,4.0,0.0,Everton
Armando Broja,ALB,FW,0.0,0.0,10,1.0,0.0,Everton
Nathan Patterson,SCO,DF,0.0,1.0,10,1.0,0.0,Everton
Séamus Coleman,IRL,DF,0.0,0.0,5,1.0,0.0,Everton
Roman Dixon,ENG,DF,0.0,0.0,1,0.0,0.0,Everton
Harrison Armstrong,ENG,MF,0.0,0.0,3,1.0,0.0,Everton
Youssef Chermiti,POR,"FW,MF",0.0,0.0,4,1.0,0.0,Everton
Mason Holgate,JAM,"FW,DF",0.0,0.0,1,0.0,0.0,Everton
Callum Bates,ENG,MF,0.0,0.0,0,0.0,0.0,Everton
Asmir Begović,BIH,GK,0.0,0.0,0,0.0,0.0,Everton
Coby Ebere,GER,MF,0.0,0.0,0,0.0,0.0,Everton
Isaac Heath,ENG,MF,0.0,0.0,0,0.0,0.0,Everton
Neal Maupay,FRA,"FW,MF",0.0,0.0,0,0.0,0.0,Everton
Jenson Metcalfe,ENG,MF,0.0,0.0,0,0.0,0.0,Everton
Martin Sherif,NED,FW,0.0,0.0,0,0.0,0.0,Everton
João Virgínia,POR,GK,0.0,0.0,0,0.0,0.0,Everton
Reece Welch,ENG,DF,0.0,0.0,0,0.0,0.0,Everton
Bernd Leno,GER,GK,0.0,1.0,38,5.0,0.0,Fulham
Antonee Robinson,USA,DF,0.0,10.0,36,8.0,0.0,Fulham
Alex Iwobi,NGA,"FW,MF",9.0,6.0,38,1.0,0.0,Fulham
Calvin Bassey,NGA,DF,1.0,0.0,35,7.0,0.0,Fulham
Raúl Jiménez,MEX,FW,12.0,3.0,38,4.0,0.0,Fulham
Joachim Andersen,DEN,DF,0.0,0.0,29,6.0,1.0,Fulham
Saša Lukić,SRB,MF,0.0,2.0,30,12.0,0.0,Fulham
Sander Berge,NOR,MF,0.0,0.0,31,6.0,0.0,Fulham
Emile Smith Rowe,ENG,MF,6.0,3.0,34,3.0,0.0,Fulham
Andreas Pereira,BRA,MF,2.0,4.0,33,7.0,0.0,Fulham
Kenny Tete,NED,DF,0.0,2.0,22,5.0,0.0,Fulham
Adama Traoré,ESP,"FW,MF",2.0,7.0,36,3.0,0.0,Fulham
Timothy Castagne,BEL,DF,0.0,1.0,24,1.0,0.0,Fulham
Issa Diop,FRA,DF,0.0,0.0,21,2.0,0.0,Fulham
Harry Wilson,WAL,"FW,MF",6.0,1.0,25,2.0,0.0,Fulham
Rodrigo Muniz,BRA,FW,8.0,1.0,31,1.0,0.0,Fulham
Ryan Sessegnon,ENG,"FW,DF",4.0,2.0,16,1.0,0.0,Fulham
Reiss Nelson,ENG,FW,1.0,1.0,11,1.0,0.0,Fulham
Jorge Cuenca,ESP,DF,0.0,0.0,8,0.0,0.0,Fulham
Tom Cairney,SCO,MF,2.0,0.0,25,3.0,1.0,Fulham
Willian,BRA,"FW,MF",0.0,0.0,10,0.0,0.0,Fulham
Joshua King,ENG,MF,0.0,0.0,8,0.0,0.0,Fulham
Harrison Reed,ENG,MF,0.0,0.0,12,2.0,0.0,Fulham
Martial Godo,ENG,"FW,DF",0.0,0.0,2,0.0,0.0,Fulham
Carlos Vinícius,BRA,"MF,FW",0.0,0.0,3,0.0,0.0,Fulham
Jay Stansfield,ENG,MF,0.0,0.0,1,0.0,0.0,Fulham
Samuel Amissah,ENG,DF,0.0,0.0,0,0.0,0.0,Fulham
Steven Benda,GER,GK,0.0,0.0,0,0.0,0.0,Fulham
Dara O'Shea,IRL,DF,0.0,2.0,35,6.0,0.0,Ipswich Town
Leif Davis,ENG,DF,1.0,2.0,33,5.0,1.0,Ipswich Town
Liam Delap,ENG,FW,12.0,2.0,37,12.0,0.0,Ipswich Town
Sam Morsy,EGY,MF,1.0,1.0,33,10.0,0.0,Ipswich Town
Omari Hutchinson,ENG,"MF,FW",3.0,2.0,31,5.0,0.0,Ipswich Town
Jacob Greaves,ENG,DF,1.0,0.0,25,5.0,0.0,Ipswich Town
Jens Cajuste,SWE,MF,1.0,1.0,30,2.0,0.0,Ipswich Town
Axel Tuanzebe,COD,DF,0.0,1.0,22,5.0,1.0,Ipswich Town
Arijanet Muric,KVX,GK,0.0,0.0,18,1.0,0.0,Ipswich Town
Cameron Burgess,AUS,DF,0.0,2.0,18,0.0,0.0,Ipswich Town
Ben Johnson,ENG,"DF,FW",1.0,2.0,23,5.0,1.0,Ipswich Town
Kalvin Phillips,ENG,MF,0.0,0.0,19,6.0,1.0,Ipswich Town
Alex Palmer,ENG,GK,0.0,0.0,13,2.0,0.0,Ipswich Town
Sammie Szmodics,IRL,"FW,MF",4.0,0.0,20,2.0,0.0,Ipswich Town
Luke Woolfenden,ENG,DF,0.0,0.0,15,2.0,0.0,Ipswich Town
Jack Clarke,ENG,"FW,MF",0.0,4.0,32,2.0,0.0,Ipswich Town
Wes Burns,WAL,"FW,DF",0.0,1.0,18,1.0,0.0,Ipswich Town
Julio Enciso,PAR,"MF,FW",2.0,3.0,13,3.0,0.0,Ipswich Town
